Truck_ID,Vehicle_No,Vehicle_Type,Supervisor,Mode,Customer_Name,Ownership,Purchase_Date,EMI_Monthly,Insurance_Monthly,Road_Tax_Monthly,Tyre_Cost_per_KM,Maintenance_Cost_per_KM,,,,,,,,,,,,,,,
107,KA59 8719,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
108,KA59 8720,MXL,BIPLAP,Dedicated,HUL,,,,,,,,,,,,,,,,,,,,,,
109,KA51AA2797,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
110,KA51AA2800,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
111,KA51AA2801,MXL,DEVI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
112,KA51AA2802,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
113,KA51AB0439,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
114,KA51AB0441,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
115,KA51AB0442,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
116,KA51AB0444,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
117,KA51AK6574,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
118,KA51AK6577,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
119,KA51AK6578,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
120,KA51AK6580,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
121,KA51AK6581,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
122,KA51AK6582,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
123,KA51C6585,MXL,DEVI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
124,KA51D3944,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
125,KA51D3947,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
126,KA51D9733,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
127,KA51D9737,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
128,KA51D9742,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
129,KA59 5980,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
130,KA59 5981,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
131,KA59 5982,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
132,KA59 5983,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
133,KA59 5984,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
134,KA59 5985,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
135,KA59 5986,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
136,KA59 5987,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
137,KA59 5988,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
138,KA59 5989,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
139,KA59 5990,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
140,KA59 5991,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
141,KA59 5992,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
142,KA59 5993,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
143,KA59 5994,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
144,KA59 5995,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
145,KA59 5996,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
146,KA59 5997,MXL,DEVI,Line,Britannia,,,"52,305.00",,,,,,,,,,,,,,,,,,,
147,KA59 5998,MXL,DEVI,Line,Britannia,,,"52,580.00",,,,,,,,,,,,,,,,,,,
148,KA59 6000,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
149,KA59 6001,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
150,KA59 6002,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
151,KA59 6003,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
152,KA59 6004,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
153,KA59 6005,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
